Fri Dec  9 10:56:02 2022    async

         1084106 function calls (1058191 primitive calls) in 43.945 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.019    0.005 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\worksheet\_reader.py:447(bind_all)
       36    0.003    0.000    0.019    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\ticker.py:2052(_raw_ticks)
      616    0.001    0.000    0.019    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\markers.py:219(__init__)
      699    0.002    0.000    0.018    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:326(xmin)
     2790    0.003    0.000    0.018    0.000 <__array_function__ internals>:177(dot)
        4    0.001    0.000    0.018    0.005 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\worksheet\_reader.py:350(bind_cells)
     5474    0.012    0.000    0.018    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\cbook\__init__.py:2014(_setattr_cm)
      225    0.001    0.000    0.018    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\text.py:1251(set_fontproperties)
       10    0.000    0.000    0.018    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\xlsx2html\format\number.py:168(format_decimal)
     1886    0.006    0.000    0.018    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:2351(__init__)
        1    0.000    0.000    0.018    0.018 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\multiprocessing\pool.py:10(<module>)
     2846    0.011    0.000    0.017    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\font_manager.py:710(__hash__)
     2570    0.003    0.000    0.017    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:81(_stale_axes_callback)
