name,salary_from,salary_to,salary_currency,area_name,published_at
Фрезеровщик (Пермь),Киров (Кировская область),106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Токарь-расточник (г.Пермь),Саратов,112000.0,140000.0,RUR,2022-12-01T08:26:45+0300
Строгальщик (г. Челябинск),Волжский (Волгоградская область),105000.0,,RUR,2022-12-01T10:46:33+0300
Инженер-программист,Уссурийск,53000.0,,RUR,2022-12-01T08:21:18+0300
Системный администратор (Академгородок),Бердск,40000.0,,RUR,2022-12-01T08:09:58+0300
Токарь (Пермь),Омск,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Токарь (Пермь),Оренбург,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Токарь (Пермь),Белгород,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),Белгород,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),Орел,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Токарь-карусельщик,Тюмень,130000.0,,RUR,2022-12-01T09:31:27+0300
Токарь,Миасс,121000.0,127000.0,RUR,2022-12-01T11:43:56+0300
Аналитик отдела прогнозирования продаж,Москва,80000.0,,RUR,2022-12-01T09:15:29+0300
Механик по специализированной технике,Норильск,148000.0,165000.0,RUR,2022-12-01T08:39:11+0300
Системный администратор,Владимир,,50000.0,RUR,2022-12-01T10:50:38+0300
Проект-менеджер по разработке сайтов,Тюмень,40000.0,120000.0,RUR,2022-12-01T11:10:01+0300
Фрезеровщик,Арсеньев,50000.0,,RUR,2022-12-01T01:58:56+0300
Фрезеровщик,Новокузнецк,40000.0,50000.0,RUR,2022-12-01T05:20:16+0300
Токарь (Пермь),Тверь,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
